地域クラブ名,地域クラブ名（フリガナ）,種目・分野,活動エリア（区）,活動場所,活動日時,募集対象・性別,費用（月会費、その他費用）,活動方針等,中体連・中文連大会参加の有無,ホームページ・SNS等（任意）,代表者氏名（任意）,連絡先（任意）,メール（任意）,入会方法（いずれか選択）,備考,
横代陸上クラブ,ヨコシロリクジョウクラブ,陸上競技,小倉南区,横代中学校グラウンド,,市内中学生,スポーツ保険費用800円／年間,,,,,,,,
志徳ソフトテニスクラブ,シトクソフトテニスクラブ,ソフトテニス,小倉南区,志徳中学校テニスコート,,中学生の男女,年間会費1200円 保険料800円,,,,,,,,
ひびき吹奏楽団,ヒビキスイソウガクダン,マーチング,若松区,北九州市立高須中学校体育館、グラウンド、他体育館,,中学生の男女,月会費1000円、保険料年額800円、他校外活動費等,,,,,,,,
北九州VBC,ｷﾀｷｭｳｼｭｳﾊﾞﾚｰﾎﾞｰﾙｸﾗﾌﾞ,バレーボール,八幡東区,中央中学校,,中学生１年生から３年生　男子,"年会費1,000円（保険料含む）月会費1,000円",,,,,,,,
桜丘スポーツ少年団剣道部,サクラガオカスポーツショウネンダンケンドウブ,剣道,小倉南区,北九州市立吉田中学校剣道場   北九州市立桜丘小学校体育館,,中学生（男女）,月会費3０００円、保険料年額８００円,,,,,,,,
熊西FC,クマニシエフシー,サッカー,八幡西区,熊西中学校グラウンド,,中学生の男女,月会費1500円、その他保険料など,,,,,,,,
永犬丸サッカークラブ,エイノマルサッカークラブ,サッカー,八幡西区,永犬丸中学校,,中学生の男女（主に男女混合で練習します）,1000円／月,,,,,,,,
TRY-U,トライユー,卓球,小倉北区,TRY-U(卓球場）,,北九州市在住の中学生男女,"月会費 3,000円（※その他、協会登録料、大会参加費、個人用具代等の諸経費あり",,,,,,,,
こぞのえ卓球北九州,コゾノエタッキュウキタキュウシュウ,卓球,小倉南区,こぞのえスポーツ北九州店　内卓球場 ,,北九州市在住の中学生,月3000円、その他協会登録料、試合参加料、道具代などの諸経費あり,,,,,,,,
Green　Gate　Basketball　Team,グリーンゲート　バスケットボール　チーム,バスケットボール,門司区,緑丘中学校体育館　門司中学校体育館,,中学生男女,月会費1000円　保険料年額800円　その他個人で使用する用具代など,,,,,,,,
引野クラブ,ヒキノクラブ,女子バレーボール,八幡西区,引野中学校体育館,,中学生女子,月会費500円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
横代BBC,ヨコシロベースボールクラブ,軟式野球,小倉南区,北九州市立横代中学校　グランド,,中学生男女,"月会費1,500円　保険料年額800円　その他個人で使用する用具代など",,,,,,,,
浅川軟式野球クラブ,アサカワナンシキヤキュウクラブ,軟式野球,八幡西区,浅川中学校グランド,,中学校1年生～3年生,一人500円/月,,,,,,,,
本城陸上クラブ,ホンジョウリクジョウクラブ,陸上競技　駅伝競走,八幡西区,本城公園及び本城陸上競技場,,中学生,4500円／月、保険料800円／年,,,,,,,,
福岡神武館,フクオカシンブカン,剣道,八幡東区,九州国際大学付属高校剣道場・第一警備スポーツセンター,,中学生の男女,"3,000円 /月",,,,,,,,
双葉剣友会中学部,フタバケンユウカイチュウガクブ,剣道,若松区,高須中学校　武道場及び体育館,,中学生の男女（男女混合で練習します）,"1,000円／月",,,,,,,,
SHIEI Wind Ensemble,シエイ　ウインドアンサンブル,吹奏楽,小倉北区,北九州市立思永中学校　武道場,,中学１年生～３年生の男女,月額500円のほかその他備品費等,,,,,,,,
中原ベースボールクラブ,ナカバルベースボールクラブ,軟式野球,戸畑区,中原中学校　グラウンド及び武道場,,中学校１年生から３年生までの生徒,一人2000円／月　保険料年額800円,,,,,,,,
浅川駅伝クラブ,アサカワエキデンクラブ,陸上競技,八幡西区,本城陸上競技場,,中学生男女  (主に男女混合で練習します),"月会費  1,000円  保険料年額 800円",,,,,,,,
石田卓球Ｎ＋,イシダタッキュウエヌプラス,卓球,八幡西区,石田卓球Ｎ?　卓球場,,中学生の男女（主に男女混合で練習します）,月会費3000円、保険料年額800円、その他個人で使用する用具台など,,,,,,,,
洞北バスケットボールクラブ,ドウホクバスケットボールクラブ,バスケットボール,若松区,洞北中学校体育館,,女子中学生,500円/月、スポーツ安全保険費,,,,,,,,
緑丘野球倶楽部,ミドリガオカヤキュウクラブ,軟式野球,門司区,緑丘中学校グラウンド、その他北九州市の野球場,,北九州市内に通う中学1年生～3年生の男女,月/3000円,,,,,,,,
則松筝曲クラブ,ノリマツソウキョククラブ,筝曲,八幡西区,則松中学校体育館,,中学1年生～３年生,月会費は当面徴収しない。必要経費をその都度徴収する。年間保険料800円、その他個人で購入するもの,,,,,,,,
浅川道場,アサカワドウジョウ,剣道,八幡西区,浅川中学校(武道場),,中学生の男女(主に男女混合で練習します),月会費500円・保険料年額800円,,,,,,,,
穴生陸上クラブ,アノオリクジョウクラブ,陸上競技,八幡西区,北九州市立穴生中学校　グラウンド,,中学生の男女（主に男女混合で練習します）,月会費500円,,,,,,,,
霧丘地域卓球クラブ,キリガオカチイキタッキュウクラブ,卓球,小倉北区,霧丘中学校武道場,,中学生の男子,月会費1000円、スポーツ安全保険800円、その他個人で使用する用具代など,,,,,,,,
槻田・高見ベースボールクラブ,ツキダ・タカミベースボールクラブ,軟式野球,八幡東区,"槻田中学校グラウンド",,中学生男女,"月会費2,000円　保険料8,00円　個人使用及びチーム使用の道具代　等",,,,,,,,
則松地域卓球クラブ,ノリマツチイキタッキュウクラブ,卓球,八幡西区,折西小学校体育館,,中学生の男子,保険料800円、その他個人で使用する用具代など,,,,,,,,
洞北陸上クラブ,ドウホクリクジョウクラブ,陸上競技,若松区,本城陸上競技場・洞北中学校グラウンド,,中学生の男女(主に男女混合で練習します),月会費3000円、ただし2026年度は月会費1000円。年額保険料８００円、その他遠征費等,,,,,,,,
松ケ江テニスクラブ,マツガエテニスクラブ,ソフトテニス,門司区,松ケ江中学校,,中学1年生～中学3年生,500円/月,,,,,,,,
北九州スケートボードクラブ(ＫＳＣ),キタキュウシュウスケートボードクラブ(ケイエスシー),スケートボード,小倉北区,延命寺臨海公園,,中学生,月額500円,,,,,,,,
MATSUGAE　CLUB,マツガエ　クラブ,バスケットボール,門司区,北九州市立松ヶ江中学校体育館,,北九州市に住む中学生,月500円（別途スポーツ保険　年800円）,,,,,,,,
Yuuki Judo Team,ユウキジュウドウチーム,柔道,戸畑区,髙生中学校　武道場,,中学生の男女（主に男女混合で練習します）,"月会費2,000円、保険料年額800円、その他個人で使用する用具代など",,,,,,,,
飛幡野球クラブ,トビハタヤキュウクラブ,軟式野球,戸畑区,飛幡中学校グラウンド,,中学1年生?中学3年生,"月会費　2,000円、その他使用する用具代、交通費",,,,,,,,
熊西BBC,クマニシBBC,軟式野球,八幡西区,熊西中学校グラウンド並びに北九州市内及び北九州市近郊の公共グラウンドその他代表が適当と認める場所,,北九州市内　中学生,スポーツ保険、その他実費,,,,,,,,
木屋瀬NEXUSベースボールクラブ,コヤノセネクサスベースボールクラブ,軟式野球,八幡西区,木屋瀬中学校　グラウンド,,本市、および近隣の中学生,"￥2,000／月",,,,,,,,
上津役BBC,コウジャク　ベースボールクラブ,軟式野球,八幡西区,上津役中学校グラウンド等,,中学生の男女,"1,500円 / 月",,,,,,,,
篠崎ベースボールクラブ,シノザキベースボールクラブ,軟式野球,小倉北区,篠崎中学校グランド,,中学生男子,"月会費2,000円、保険料年額800円、その他個人で使用する用具代など",,,,,,,,
則松剣練会,ノリマツケンレンカイ,剣道,八幡西区,北九州市立則松中学校　体育館,,中学生男女　男女混合での活動,月会費300円　別途スポーツ安全保険年額800円,,,,,,,,
VALORS,バラルス,バスケットボール,小倉北区,菊陵中学校,,中学生男女,月会費3000円、保険料年額800円,,,,,,,,
TAKASU,タカス,バスケットボール,若松区,高須中学校体育館,,中学生の女子,月会費2000円、保険料年額800円,,,,,,,,
啓明会,ケイメイカイ,剣道,戸畑区,牧山小学校体育館（土曜日）、天籟寺小学校体育館（日曜日）、第一警備スポーツセンター戸畑剣道場（月、木曜日）,,中学生の男女（主に男女混合で稽古します）,"月会費3,000円、保険料年額800円、その他個人で使用する用具代など",,,,,,,,
ゆるさんぽ（北九州の自然や街歩き）,ユルサンポ（キタキュウシュウノシゼンヤマチアルキ）,ウォーキング,小倉北区,"北九州市内の公園、遊歩道、観光地などのウォーキングコース（例：門司港周辺、和布刈公園、中央公園、金比羅神社周辺、戸畑駅～夜宮公園など）",,中学生でウォーキングに興味のあるもの。 ,参加1回につき500円（活動当日に徴収）,,,,,,,,
東筑紫柔道クラブ,ヒガシチクシジュウドウクラブ,柔道,小倉北区,東筑紫学園柔道場,,中学校１～３年生の男女,入会金・月会費0円　（全柔連登録費・遠征費用・保険は自己負担）,,,,,,,,
霧丘バスケットボールクラブ女子,キリガオカバスケットボールクラブジョシ,バスケットボール,小倉北区,霧丘中学校　体育館,,中学生女子,月会費1000円　保険料年額800円　その他個人で使用する用具代,,,,,,,,
霧丘バスケットボールクラブ男子,キリガオカバスケットクラブダンシ,バスケットボール,小倉北区,霧丘中学校　体育館,,中学生男子,"月会費1,000円（3.8.12月のみ2,000円）　保険料年額800円　その他個人で使用する用具代",,,,,,,,
花尾バスケットボールクラブ,ハナオバスケットボールクラブ,バスケットボール,八幡東区,花尾中学校（体育館）,,バスケットボールへの参加を希望する、中学校1年生から中学校3年生までの生徒。,1000円/月,,,,,,,,
枝光台ベースボールクラブ,エダミツダイベースボールクラブ,野球,八幡東区,枝光台中学校グラウンド,,八幡東区を中心に軟式野球を頑張りたい中学生,一人500円　保険料年間800円,,,,,,,,
思永バレーボールクラブ（SHIEI・V・B・C）,シエイバレーボールクラブ（シエイ・Ｖ・Ｂ・Ｃ）,バレーボール,小倉北区,思永中学校体育館,,中学生男女,"月会費1,000円　保険料年額800円　その他個人で使用する道具代など",,,,,,,,
洞北バレーボールクラブ,ドウホクバレーボールクラブ,バレーボール,若松区,主に洞北中学校,,中学生男女,"月会費、保険料（年間）込み1,000円",,,,,,,,
霧丘ベースボールクラブ,キリガオカベースボールクラブ,野球,小倉北区,霧丘中学校,,野球への参加を希望する中学校1年生から中学校3年生の生徒,毎月2500円,,,,,,,,
槻田ソフトテニスクラブ,ツキダソフトテニスクラブ,ソフトテニス,八幡東区,槻田中学校テニスコート、グランド,,中学生の女子,毎月1000円、年間保険料800円、その他試合等の参加費,,,,,,,,
企救 ウインドオーケストラ（KIKU Wind Orchestra）,キク　ウインドオーケストラ,吹奏楽,小倉南区,北九州市立企救中学校　武道場,,中学生,入会費一人1000円／年、月会費一人0円／月とする。  ただし、令和９年度より一人2000円／月とする,,,,,,,,
浅川柔道クラブ,アサカワジュウドウクラブ,柔道,八幡西区,浅川中学校　武道場,,中学生の男女（主に男女混合で練習します）,月会費500円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
八幡杖道会香月クラブ,ヤハタジョウドウカイカツキクラブ,杖道,八幡西区,香月中学校武道場、楠橋小学校体育館,,中学生,毎月500円,,,,,,,,
Moritsune Wind Orchestra,モリツネ ウインド オーケストラ,吹奏楽,小倉南区,守恒中学校運動場横研修室,,中学生の男女,1年1000円,,,,,,,,
花尾ジュニアベースボールクラブ,ハナオジュニアベースボールクラブ,軟式野球,八幡東区,花尾中学校グランド,,軟式野球への参加を希望する，中学校1年生から中学校3年生までの生徒,月会費1000円，保険料年額800円，その他個人で使用する用具代など,,,,,,,,
こやのせ剣心館,コヤノセケンシンカン,剣道,八幡西区,木屋瀬中学校　武道場（体育館、グラウンド）など,,中学１～3年生の男女,一人2000円 / 月,,,,,,,,
Nouji学園,ノウジガクエン,農業、園芸、食農教育、動物飼育,小倉南区,"北九州市立農事センター 小倉南区周辺",,市内の中学生,一人 500円 / 月,,,,,,,,
思永スパイダース,シエイスパイダース,バスケットボール,小倉北区,思永中学校　体育館,,中学生の男女,"月会費1,000円.スポーツ保険年額800円",,,,,,,,
沼陸上クラブ,ヌマリクジョウクラブ,短距離走（リレー含む）、長距離走（駅伝含む）・走高跳・走幅跳・砲丸投等,小倉南区,沼中グラウンド他、鞘ヶ谷競技場・本城陸上競技場・曽根新田駅伝コース・葛原東ふれあい公園等,,中学１年生から中学３年生まで,月５００円（陸連登録料、大会出場料、大会や練習場所への移動にかかる 交通費、ユニフォーム代等に関しては別途負担）,,,,,,,,
守恒ベースボールクラブ,モリツネベースボールクラブ,軟式野球,小倉南区,守恒中学校グラウンド,,中学生,月額300円、保険料年額800円、その他個人で使用する用具代,,,,,,,,
飛幡陸上競技クラブ,トビハタリクジョウキョウギクラブ,陸上競技,戸畑区,飛幡中学校　グラウンド,,中学生の男女（主に男女混合で練習します）,月会費　R7年度は無料（必要な費用が発生した場合は、その都度、徴収。）保険料年間800円、その他個人で使用する用具代など,,,,,,,,
RISE  則松VC,ライズノリマツバレーボールクラブ,バレーボール,八幡西区,則松中学校体育館,,中学生男子,一人500円／回、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
TKGクラブ,ティケージークラブ,バレーボール,八幡東区,"中央中学校体育館",,中学1年生～中学3年生の男子,1000円／月,,,,,,,,
石峯クラブ,イシミネクラブ,剣道,若松区,石峯中学校武道場,,中学校１年生から３年生の男女　（主に男女混合で練習します）,月会費2000円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
菊陵Ｔ.Ｔ.Ｃ,キクリョウティ－ティ－シ-,卓球,小倉北区,"菊陵中学校体育館・長浜公民館",,中学生　男女,月会費2000円、保険料年額1500円、その他個人で使用する用具代など,,,,,,,,
太聖館道場,タイセイカンドウジョウ,柔道,若松区,向洋中学校武道場,,中学生の男女(主に男女混合での練習),3000円/月,,,,,,,,
北九州JOYSクラブ,キタキュウシュウジョイズクラブ,軟式野球,八幡西区,"北九州市内（三萩野球場、高炉台球場、城山球場、都島球場、牧山グラウンド）チームの確保や対戦相手の確保により実施場所は異なる。",,中学生（経験は問いません）,年間5000円,,,,,,,,
北九州市なぎなた連盟クラブ,キタキュウシュウシナギナタレンメイクラブ,なぎなた,小倉北区,北九州パレス・桃園武道場,,中学１年生から中学３年生,1000円／月　入会金2000円,,,,,,,,
ＨＯＯＰＥＲＳ,フーパーズ,バスケットボール,門司区,"戸ノ上中学校 門司総合特別支援学校",,中学校1年生～中学校3年生,令和7年度は徴収しない,,,,,,,,
ETERNALBONDS,エターナルボンズ,バレーボール,小倉南区,横代中学校体育館,,女子中学生(1年生～3年生),1人100円/回　スポーツ保険年額800円+備品代200円別途徴収,,,,,,,,
高須ベースボールクラブ,タカスベースボールクラブ,軟式野球,若松区,高須中学校グラウンド,,中学校1年生から中学校3年生までの生徒,一人2000円／月,,,,,,,,
飛幡道場,トビハタドウジョウ,剣道,戸畑区,飛幡中学校武道場,,中学生男女,一人1000円 / 月,,,,,,,,
十勇会中等部,ジュウユウカイチュウトウブ,剣道,八幡西区,黒崎中学校武道場  桃園武道場,,中学生,3000円/月,,,,,,,,
髙森卓球クラブ,タカモリタッキュウクラブ,卓球,八幡西区,髙森卓球場,,中学生男女,月3000円、年会費としてスポーツ保険代1000円、卓球協会登録代2200円、また道具代、大会参加費等諸経費あり。,,,,,,,,
門司ユナイテッドFC,モジユナイテッドエフシー,サッカー,門司区,"緑丘中学校グラウンド 新門司人工芝グラウンド",,中学生の男女　（主に男女混合で練習します）,1回の参加費200円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
則松柔道クラブ,ノリマツジュウドウクラブ,柔道,八幡西区,八幡西柔剣道場,,中学生の男女（主に男女混合で練習します）,3000円/月,,,,,,,,
小倉南U１５バレーボールクラブ,コクラミナミクアンダージュウゴバレーボールクラブ,バレーボール,小倉南区,沼中学校の体育館,,中学１～３年の男女,月会費2000円、保険料年額800円等,,,,,,,,
TOBIHATA.VBC,トビハタ．ブイビーシー,バレーボール(男子）,戸畑区,飛幡中学校体育館,,中１～中３の男子生徒,月会費500円,,,,,,,,
洞北剣道クラブ,ドウホクケンドウクラブ,剣道,若松区,洞北中学校武道場,,中学生男女,3000円/月,,,,,,,,
エンジョイラグビー未来塾,エンジョイラグビーミライジュク,ラグビーを中心とした各種ボールゲーム（タッチフット・アルティメット等）,門司区,新門司海浜緑地公園グランド、柄杓田小学校グラウンドほか,,中学生の男女（主に男女混合で練習します）,月会費1000円、保険料800円、その他個人で使用する用具代など,,,,,,,,
ＭＧＣ,エムジーシー,バスケットボール,戸畑区,高生中学校体育館,,中学生男女　(男女別　指導者別の練習),体験無料　2026年3月まで月2000円,,,,,,,,
OKITA RISE ONE,オキタ　ライズ ワン,バスケットボール,八幡西区,沖田中学校　体育館,,市内中学生,"入会金　1,000円、月会費　500円、保険料年額　800円",,,,,,,,
守恒少年剣道クラブ,モリツネショウネンケンドウブ,剣道,小倉南区,守恒中学校　武道場または体育館,,中学生の男女,"月会費1,500円、保険料、その他試合での個人戦料金。",,,,,,,,
北九州曽根ベースボールクラブ,キタキュウシュウソネベースボールクラブ,軟式野球,小倉南区,曽根中学校　グラウンド,,北九州市内に通う中学1年～3年生,月会費10000円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
若松振武会,ワカマツシンブカイ,剣道,若松区,若松武道場,,中学1年生から中学3年生,"3,000円/月",,,,,,,,
広徳女子バスケットボールクラブ,コウトクジョシバスケットボールクラブ,バスケットボール,小倉南区,広徳中学校体育館,,中学生,"会費　月1,000円　保険800円",,,,,,,,
Tennis・Rubato Alt,テニス・ルバート　オルタ,ソフトテニス,小倉南区,曽根中学校テニスコート。小倉南区、北区のテニスコート。,,中学1年生～3年生,初回のみ備品代1000円、1回参加500円、保険料等年額800円、コート代、ラケット、シューズ等は自己負担です。,,,,,,,,
沼卓球クラブ,ヌマタッキュウクラブ,卓球,小倉南区,沼中学校体育館　沼小学校体育館,,中学生の男女,月会費500円　保険料年額800円　その他使用する用具代など,,,,,,,,
槻田バスケットボールクラブ,ツキダバスケットボールクラブ,バスケットボール,八幡東区,槻田中学校体育館,,中学生男女,月会費1500円。保険料年額800円。その他個人で使用する用具代など。,,,,,,,,
NEXUS,ネクサス,バレーボール,小倉南区,菅生中学校体育館,,中学校男子,"年会費5,000円（令和7年度は徴収しない）月会費2,000円　保険料年額800円　その他個人で使用するもの費用",,,,,,,,
浅川U15バスケットボールクラブ,アサカワユージュウゴバスケットボールクラブ,バスケットボール,八幡西区,浅川中学校体育,,男子中学生,会費500円／回、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
高須バレーボールクラブ,タカスバレーボールクラブ,バレーボール,若松区,高須中学校体育館,,中学生女子,"月会費1,000円保険料年額800円",,,,,,,,
永犬丸男子ソフトテニスクラブ,エイノマルダンシソフトテニスクラブ,ソフトテニス,八幡西区,永犬丸中学校テニスコート,,中学生の男子,会費500円/回、年会費200円、保険料年額800円その他個人で使用する用具代など,,,,,,,,
横代DEVOTED,ヨコシロディヴォーテッド,バスケットボール,小倉南区,横代中学校体育館,,北九州市に住む中学生,１０００円/月,,,,,,,,
小倉北ベースボールクラブ思永支部,コクラキタベースボールクラブシエイシブ,軟式野球,小倉北区,思永中学校グラウンド、その他北九州市の野球場,,小倉北区思永中学校で活動できる中学生（男女問わず）,2000円/月,,,,,,,,
たけのこTTC,タケノコティーティーシー,卓球,小倉南区,菅生中学校 体育館,,中学校1年生～中学校3年生,月会費500円・保険料年間800円,,,,,,,,
MVBC,マリオバレーボールクラブ,バレーボール,小倉北区,富野中学校の体育館,,中学生,月500円程度,,,,,,,,
飛幡卓球クラブ,トビハタタッキュウクラブ,卓球,戸畑区,飛幡中学校　体育館or3階の多目的室,,中学生の男女　（主に男女混合で練習します）,月会費1０００円、保険料年額800円、その他個人で使用する用具代など,,,,,,,,
ボディ　メイク　クラブ,ボディ　メイク　クラブ,フィジカルトレーニング・コンディショニング,若松区,市営体育館・プール・西日本スイミングクラブ若松校,,主に中学生の男女,"１回1,000円保険料年額2,000円その他施設使用料など",,,,,,,,
GAME　1　VIPERS,ゲームワンヴァイパーズ,バスケットボール,若松区,洞北中学校体育館及び近辺の体育館,,中学生の男女,"登録費用1回/年3,000円、月会費3,000円",,,,,,,,
護身術クラブ,ゴシンジュツクラブ,護身術,戸畑区,龍神流合気道本部道場,,中学生男女,"入会費2,000円　月会費2,300円　道着等",,,,,,,,
広徳 T T C,コウトクティーティーシー,卓球,小倉南区,広徳中学校武道場・体育館,,中学生の男子,"月会費1,000円、保険料年額1,450円、その他個人で使用する用具代など",,,,,,,,
門司 B B C,モジ　ベースボールクラブ,軟式野球,門司区,"早鞆中学校グラウンド",,中学生,"月会費5,000円　保険料年額800円その他個人で使用する用具代など",,,,,,,,
中島少年剣道教室,ナカシマショウネンケンドウキョウシツ,剣道,小倉北区,白銀中学校武道場・中島小学校体育館,,中学生の男女（主に男女混合で練習します）,入会金3000円・月会費2000円,,,,,,,,
広徳クラブチーム,コウトククラブチーム,バスケットボール,小倉南区,広徳中体育館,,バスケットボール中学生,一人　1200円／月,,,,,,,,
小森江西クラブ,コモリエニシクラブ,卓球,門司区,"拠点　門司中学校　武道場　体育館 サブ　小森江西小学校　体育館 サブ　中川卓球場",,中学生の男女,"本年度 月会費1,000円　スポーツ保険代　ラケット等の用具代　大会参加費等の諸経費",,,,,,,,
北九州Duckbills,キタキュウシュウダックビルズ,ロードバイク競技,若松区,"北九州市全域及び周辺地域",,中学生男女,2000円/月　その他チームユニフォーム購入（入団時即時ではない）,,,,,,,,
二島ベースボールクラブ,フタジマベースボールクラブ,軟式野球,若松区,二島中学校　グラウンド,,軟式野球への参加を希望する、中学生の男女,"一人1,000円／月",,,,,,,,
八幡クラブ,ヤハタクラブ,バスケットボール,八幡西区,引野中学校体育館、穴生中学校体育館、熊西中学校体育館,,中学校１年生から３年生までの男女,ｴﾝｼﾞｮｲｺｰｽ：保険料800円/年500円/都度　ﾁｬﾚﾝｼﾞｸﾗｽ：保険料800円/年2000円/月　ｱﾄﾞﾊﾞﾝｽｸﾗｽ：保険料800円/年2500円/月,,,,,,,,
Legacia北九州FC,レガシア キタキュウシュウ エフシー,サッカー,戸畑区,"主に大谷中学校で行います。利用状況により、高見中学校、中央中学校、尾倉中学校で活動する可能性があります。",,中学生の男女　（主に男女混合で練習します）※女子の参加人数により、女子グループやチームの編成も考慮します。,一人　１０００円／月,,,,,,,,
湯川陸上クラブ,ユガワリクジョウクラブ,陸上,小倉南区,湯川中学校　サブグラウンド,,中学校1年生から中学校3年生までの生徒,年間6000円,,,,,,,,
TOTOS企救中,トトスキクチュウ,バドミントン,小倉南区,企救中学校体育館,,中学1年生から中学3年生まで,"月額3,000円",,,,,,,,
柳西ＳＣ,リュウセイエスシー,サッカー,門司区,柳西中学校グラウンド,,中学生の男女,参加費500円/1回　保険料年額800円、その他個人で使用する用具代など,,,,,,,,
浅川バスケットボールクラブ,アサカワバスケットボールクラブ,バスケットボール,八幡西区,浅川中学校体育館,,中学生の女子,会費500円/回、その他移動で生じる遠征費、スポーツ安全保険費(個人払い)、個人で使用する練習着やバッシュ、ボール等(個人払い)、その他イベント代,,,,,,,,
上津役男子バレーボールクラブ,コウジャクダンシバレーボールクラブ,バレーボール,八幡西区,上津役中学校体育館,,中学生男子,"月会費2,500円（保険料・交通費含む）、その他個人で使用する用具代など",,,,,,,,
北九州　弘武館,キタキュウシュウ　コウブカン,剣道,若松区,"青葉小学校体育館 洞北中学校武道場",,中学１年生から中学３年生,"2,000円／月",,,,,,,,
Tennis・Rubato,テニス・ルバート,ソフトテニス,小倉南区,近隣の施設、曽根中学校テニスコート,,中学１～３年生,初回のみ備品代1000円、1回参加500円、保険料等年額800円、コート代、ラケット、シューズ等は自己負担です。,,,,,,,,
飛幡クラブ,トビハタクラブ,バレーボール,戸畑区,飛幡中学校体育館,,中学生女子,一人500円/月,,,,,,,,
がっちり検定クラブ,ガッチリケンテイクラブ,英検・漢検などの各種検定試験対策,八幡西区,受講希望者の近隣中学校の教室及び香月塾教室,,中学校の男女,"1回1,000円　保険料年額1,500円　その他参考書代など",,,,,,,,
TOTOS東谷,トトスヒガシタニ,バドミントン,小倉南区,東谷中学校/東谷興農会館,,中学1年生から中学3年生まで,"月額3,000円",,,,,,,,
TOTOS小倉聴覚,トトスコクラチョウカク,バドミントン,小倉北区,小倉聴覚特別支援学校,,聴覚障がい者・難聴者の中学1年生～3年生を中心に趣旨に賛同する健聴者中学生も可,500円/1回,,,,,,,,
二島男子バレーボールクラブ,フタジマダンシバレーボールクラブ,バレーボール（男子）,若松区,二島中学校の体育館,,中学１年生から中学３年生の男子,１人500円/回　別途保険料等徴収いたします。,,,,,,,,
ロゼ虎パイレーツ,ロゼトラパイレーツ,バスケットボール,八幡西区,則松中学校体育館,,中学生の男女（主に男女混合で練習します）,"月会費1,200円、保険料年額800円、その他個人で使用する用具代など",,,,,,,,
若松ベースボールクラブ,ワカマツベースボールクラブ,軟式野球,若松区,若松中学校グランド・各施設（球場・グランド）,,中学生男女,"月会費1,000円、保険料年額800円、その他個人で使用する道具代",,,,,,,,
守恒VBC,モリツネVBC,バレーボール,小倉南区,守恒中学校　体育館,,中学1～3年生女子,月額2000円、保険料年間800円,,,,,,,,
守恒クラブ,モリツネクラブ,バスケットボール,小倉南区,守恒中学校,,中学生男子,月会費3千円,,,,,,,,
BOT GREED ,ボットグリード,バレーボール,小倉南区,沼中学校体育館,,中学生男子,月3000円,,,,,,,,
