No.,全体,生徒の皆さん向け,保護者の方向け,学校向け,クラブ立ち上げ希望の方向け,カテゴリ,質問,回答
11,●,,●,●,●,地域クラブ活動,地域クラブは大会に参加できるのですか。,"中体連が主催する大会では、多くの種目で地域クラブの参加が認められています（※）。詳細は各大会主催者、各競技団体等が定める参加規程等を個別に確認してください。
※福岡県中体連 https://fukuoka.chutairen.com/download.html"
12,●,,●,●,●,地域クラブ活動,学校部活動と地域クラブ活動のどちらにも参加してよいのですか。,現在、平日を中心に行われている学校部活動と、主に一部の土日に行われている地域クラブ活動は実施主体が異なるため、学校部活動と地域クラブ活動の双方に参加することも可能です。学校部活動と同一の種目・分野の地域クラブ活動に参加するほか、学校部活動とは異なる種目・分野の地域クラブ活動に参加する、あるいは平日の学校部活動のみに参加する、土日の地域クラブのみに参加するなど、生徒が自分の希望に合わせて選択できます。
13,●,,,●,●,地域クラブ活動,地域クラブ活動は、土日に行われていた学校部活動を単に置き換えるという位置付けなのですか。また、例えばキャンプなど、学校部活動にはない種目や分野の地域クラブ活動を立ち上げても良いのですか。,地域クラブ活動の中には、既存の学校部活動の関係者（保護者等）を母体として設立・運営されているものもありますが、そのような例だけを想定しているわけではありません。地域クラブ活動では、生徒の活動機会の確保のほか、学校や世代を超えた交流等の実現、これまでの学校部活動ではできなかった多種多様な体験の実現が期待されます。したがって、学校部活動にはない種目・分野の地域クラブ活動の立ち上げは望ましいことであり、実際にそのような地域クラブの活動も行われています。
14,●,,,●,●,地域クラブ活動,地域クラブ活動には、生徒が在籍する学校は関与しないのでしょうか。,地域クラブ活動は、学校部活動の教育的意義を継承・発展させながら、生徒に活動の機会を提供する公的な性質を有する活動であり、生徒が在籍する学校と地域クラブの連携が重要です。具体的には、学校施設の利用をはじめ、地域クラブ活動と学校部活動の活動方針の共有、地域クラブでの指導を希望する教員の兼職兼業、万が一の事故等が発生した場合の対応などについて、学校と地域クラブが十分話し合って活動を行います。
15,●,,,●,●,地域クラブ活動,地域クラブ活動は、学校以外の多様な主体が実施するものとのことですが、学校で生徒や保護者に案内しても問題はないのですか。,問題はありません。むしろ、生徒が希望する地域クラブ活動に円滑に参加できるよう、様々な機会を捉え、学校からも生徒・保護者等に対するきめ細かな情報提供等を行っていくことが望ましいものです。
16,●,,,,●,認定制度,地域クラブ活動に関する認定制度の趣旨は何ですか。,地域クラブ活動は、学校以外の多様な主体が、学校部活動の教育的意義を継承・発展させながら、生徒に活動の機会を提供するものです。競技性や成果のみに偏重するのではなく、生徒が生涯にわたってスポーツや文化芸術活動を楽しむために必要な資質・能力等を育てることを主な目的とするものであり、競技力向上を主目的とした民間のクラブチーム等との区別や質の担保等を図るなどの観点から、教育委員会が認定を行う仕組みを構築しています。
17,●,,,,●,認定制度,認定を受けるための要件はどのようなものですか。,認定に当たっては、「北九州市地域クラブ認定要綱」（以下「認定要綱」という。）に定める諸要件を満たすことが必要です。具体的には、北九州市の中学生が自由に参加できる、営利を目的とした運営ではない、活動時間の設定など市ガイドラインを遵守して活動する、教育委員会が主催する指導者研修会を受けた者が指導する、低廉な会費を設定することなどを要件としています。
18,●,,,,●,認定制度,市ガイドラインに定められている、活動時間と休養日の設定について教えてください。,地域クラブ活動については、まずは土日の学校部活動に代わって行われることを想定しています。この際、市ガイドラインに基づき、学校部活動に準じる形で、土･日曜日のいずれか一方を休養日とするとともに、活動時間は３時間程度とします。なお、平日に地域クラブ活動を行うことも可能ですが、この場合も市ガイドラインに基づき、学校部活動に準じる形で、平日のうち週当たり１日以上を休養日とするとともに、活動時間は２時間程度とします。
19,●,,,,●,認定制度,地域クラブの立ち上げに当たり、教育委員会がサポートしてくれることはあるのですか。,教育委員会事務局に「コーディネーター」を配置し、地域クラブの立ち上げ支援や、参加希望者の相談等に対応しています。具体的には、地域クラブが学校施設を利用する際の学校との調整を支援したり、地域クラブの認定申請に関する助言等を行ったりしています。教育委員会生徒指導課（℡582-2369）にご連絡をいただければ、随時丁寧に対応します。
20,●,,,,●,認定制度,認定を受けた地域クラブが、認定要件に違反して活動を行っている場合はどうなるのですか。,地域クラブが認定要件に違反し、又は本来の目的から逸脱していると認められるときは、教育委員会が改善の指導や勧告を行います。繰り返し指導・勧告を行っても改善が見られない場合は、当該クラブの認定を取り消すことがあります。なお、今後、教育委員会が地域クラブの活動状況を定期的に確認していくことを検討しています。
21,●,,●,,●,指導者,地域クラブの指導者としてどのような人を想定しているか、詳しく教えてください。教育委員会が広く募集しないのですか。,指導者については、自身の経験や知識を生かし、生徒のスポーツ・文化芸術活動をサポートすることに意欲を持つ方々を想定しています。具体的には、これまで外部講師や部活動指導員として学校部活動の指導をされてきた方や、ＮＰＯ・団体等でスポーツ・文化芸術活動の普及に取り組まれている方、地域クラブ活動に関心を持たれた社会人・学生の方、生徒の様々な活動を支えたい学校の教員（市立学校の教員は兼業兼職の手続きを行います。）などを想定しています。これらの方々が実際に指導するに当たっては、指導者研修会を受講し、受講認定証の交付を受けることが必要です。また、今後、教育委員会に指導者人材バンクを設け、指導を希望する方を広く募集するとともに、地域クラブとのマッチングを進める予定です。
22,●,,,●,●,指導者,希望すれば、誰でも地域クラブで指導することが可能なのですか。,教育委員会が実施する指導者研修会を受講し、受講認定証の交付を受けることで、希望する方はどなたでも指導することが可能です（このほか、暴力団員等に該当しない等の要件があります）。指導者研修会の受講時に指導先の地域クラブが見つかっていない方も、今後、教育委員会に設ける予定の指導者人材バンクに登録いただければ、教育委員会において、指導者を探している地域クラブとのマッチングを行う予定です。
23,●,,,,●,指導者,指導者研修の具体的な内容を教えてください。,地域クラブでの指導に当たって、受講が義務付けられている指導者研修会については、生徒にとって安全で安心な活動環境を整備するため、教育委員会が定期的に実施するものです。研修会では、生徒の心身の健康管理、事故防止、体罰及びハラスメントの防止、生徒理解など、指導者としての基本的な資質・知識を身につけます。
24,●,,,,●,指導者,一度、指導者研修を受講し、受講認定証の交付を受ければ、再度研修を受けることは不要でしょうか。,指導者研修を受講した者に交付される受講認定証の有効期限は、次年度の８月31日です。したがって、原則として、指導者研修は毎年1回受講いただくことが必要となります。
25,●,,,,●,指導者,地域クラブを立ち上げましたが、技術的な指導は行わず、生徒の活動の見守りのみ行うことを考えています。この場合でも、指導者研修の受講は必要ですか。,地域クラブ活動において、技術指導だけでなく、生徒への声かけや安全管理、万が一の場合の対応など、活動における指導・監督を担う方については、指導者研修会の受講が必要です。したがって、技術指導の有無にかかわらず、各回の活動に立ち会う方のうち、最低でも１名は研修会の受講認定証を交付されていることが必須となります。その上で、こうした方とは別に、活動の見守りのみを行い、生徒への指導・監督を行わない方については、研修会の受講を必須とはしていませんが、安全確保や事故防止、ハラスメント防止等の観点から、受講を推奨しています。
26,●,,,,●,指導者,地域クラブで、学校の教員が指導できるのですか。,地域クラブでの指導を希望する教員は、所属長（校長）の承認を得て、兼職兼業の申請を行い、事前に教育委員会の許可を得た上で、報酬を得て指導することができます。なお、ボランティアで指導する場合は、兼職兼業の申請は必要ありません。（参考）令和8年2月27日付け北九教教教第2158号「「北九州市地域クラブ」に教員が従事する場合の兼職兼業許可申請手続きについて（通知）」
27,●,,,,●,指導者,地域クラブ活動が学校施設で行われる場合、教師等が当該地域クラブ活動に係る指導に従事している時間は「在校等時間」に含まれますか。,地域クラブ活動は、学校以外の地域の多様な主体が実施する活動であるため、学校施設において活動が行われる場合であっても、当該活動に従事する時間は「在校等時間」には含まれません。
28,●,,,,●,指導者,平日の学校部活動と休日の地域クラブ活動とで指導者が異なることが考えられますが、指導方針の不一致等が生じませんか。,指導方針の不一致が生じないよう、例えば、年度当初などに学校部活動の顧問の教員と、地域クラブ活動の指導者との間で指導方針・活動方針の共有等を行うとともに、その後も定期的に情報共有を行うなど、学校と地域クラブが十分話し合って活動を行います。
29,●,,,,●,指導者,地域クラブの指導者への報酬は、誰が支払うのですか。,クラブの参加者から徴収する会費等から、地域クラブが指導者に支払います。
30,●,,,,●,指導者,指導者研修を未受講の状況でも、地域クラブとしての認定を申請することはできるのでしょうか。,認定要綱において、「指導に携わる指導者が、活動開始までに指導者研修を受講することを条件に、受講前であっても認定の申請を行うことができる」旨を定めており、可能です。
31,●,,●,,●,指導者,不適切行為を行う指導者に指導をさせるべきではないと考えますが、ガイドラインに沿わない指導を行う指導者がいた場合、どのように対応するのですか。,地域クラブの指導者に受講を義務付けている指導者研修において、市ガイドラインの遵守を求めていますが、万が一、市ガイドラインに反するなど不適切な指導を行う指導者が確認された場合には、市が改善の指導や勧告を行います。繰り返し指導・勧告を行っても改善が見られない場合は、地域クラブの認定取消や指導者名簿からの登録抹消を行うことがあります。
32,●,,●,,●,安全管理・適切な指導,いわゆる「勝利至上主義」を前面に出すような地域クラブ活動が行われる可能性はあるのですか。,市ガイドラインにおいては、「北九州市地域クラブの指導においては、勝利のみを目指すのではなく、連帯感、責任感、主体性等を育成することに努め、生徒の人間的な成長を目指す」ことを明記しており、「勝利至上主義」に偏った地域クラブ活動が行われることはありません。また、同ガイドラインでは生徒の心身の健康管理及び体罰・ハラスメントの根絶を徹底することや、生徒との十分なコミュニケーションを図るよう求めているところです。
33,●,,●,,●,安全管理・適切な指導,地域クラブ活動の指導者に対し、安全管理や事故防止について教育委員会から求めていることはありますか。,市ガイドラインにおいては、活動場所における施設・設備の点検を定期的に実施し、活動における安全対策や事故防止等に努めることや、急激な天候の変化（雷・大雨等）の際には、活動を停止し、生徒を安全な場所に避難させる等、迅速な対応を取ることを指導者に求める旨を明記しています。熱中症警戒アラートや光化学スモッグ、ＰＭ２．５等の注意喚起が行われた場合も、市ガイドライン等に則り行動することになります。
34,●,,,●,●,安全管理・適切な指導,地域クラブ活動中の怪我や事故への対応について、応急処置のキットやＡEDは地域クラブで準備しなければなりませんか。,応急処置に使用する救急バッグ等は、各クラブでご準備ください。AEDについては、学校設置のものを利用することを想定しています。校舎が施錠されている時に事故が生じるなど、緊急事態と認められる際には、「学校施設開放の手引き」の記載と同様、窓ガラスを割ってAEDを取り出すことも差し支えありません。なお、学校施設以外で活動する場合も、万が一の場合に備えて活動場所内又は活動場所最寄りのAED設置箇所をあらかじめ確認しておくことが望ましいものです。
35,●,,●,●,●,安全管理・適切な指導,保険に加入しない生徒は、地域クラブに参加できないのでしょうか。,市ガイドラインに基づき、地域クラブ活動の参加者は、学校部活動で適用されている日本スポーツ振興センターの災害共済給付と同等の補償となる、スポーツ安全保険などの保険に加入する必要があります（地域クラブごとの団体としての加入を想定しています。）。こうした保険は、傷害による入・通院、手術、後遺障害、死亡を補償する傷害保険や、対人・対物事故により負った法律上の賠償責任を補償する賠償責任保険等から構成されており、万が一の事故等があった場合の重要な備えとなるものです。
36,●,,●,,,参加費・運営費,参加費等の負担を理由に、経済的理由で参加できない生徒が生じるのではないですか。こうした生徒への支援は行うのですか。,市ガイドラインに記載のとおり、地域クラブは「可能な限り低廉な会費等を設定する」こととなります。その上で、教育委員会では、経済的困窮世帯の生徒の保護者への支援を行う予定としています。
37,●,,●,,●,参加費・運営費,各クラブで徴収する会費では賄えない諸経費（大会参加費等）を、会費とは別に徴収してもよいのでしょうか。,大会参加費等を会費と別に徴収することは可能です。徴収する場合には、使途を明確にした上で、生徒・保護者等に対して事前に説明を行うことが必要と考えています。
38,●,,●,,●,参加費・運営費,会費はどのように徴収するのですか。また、徴収した会費がクラブにおいて適切に支出されているか、監査はしないのですか。,教育委員会の認定要綱では、地域クラブが監事を置くことを認定要件としており、地域クラブの会則（参考様式あり）に、月額も含めた「会費」についての定めを置くとともに、監事が「監査」を担うことを明記することを想定しています。この会則にしたがって、各クラブごとに会費徴収・監査を行っていくことになります。
39,●,,,●,●,施設・備品,地域クラブ活動では学校施設を優先的に使用できるとのことですが、目的外使用の申請は、従来どおり行う必要がありますか。,学校施設の目的外使用の申請は、従来どおりの様式・手続により行ってください。
40,●,,,●,●,施設・備品,地域クラブ活動を学校施設を使用して行う場合、学校の設備や用具等を利用・借用することは可能ですか。,サッカーゴールやネット、支柱、バスケットゴールなどの設備は利用できます。他方、ボールやゼッケンといった消耗品などは地域クラブで用意することを想定していますが、学校には、貸し出すことが可能な備品や用具等については、地域クラブから求めがあれば可能な限り貸し出すよう、教育委員会から依頼しています。まずは、地域クラブから学校にご相談ください。
41,●,,,●,●,施設・備品,地域クラブ活動で利用する地域クラブ所有の備品・用具等を、学校で保管してもらうことは可能ですか。,備品・用具等のサイズ・数量や、学校側のスペースの広狭によっても対応が異なると考えられます。まずは、地域クラブから学校にご相談ください。
42,●,,,●,●,大会参加等,地域クラブに入っていないと、中体連の大会には参加できなくなるのですか。,中体連が主催する大会については、従来と同様、学校部活動として参加することが可能とされており、地域クラブに加入していないと大会に参加できなくなるわけではありません。その上で、中体連が主催する大会では、多くの種目で地域クラブの参加が認められていますが、学校部活動と、部活動を母体とした地域クラブとが併存している場合に、学校部活動として大会に参加するか、地域クラブとして大会に参加するか、いずれかを選択することが必要となるなどの場合があります。詳細は各大会主催者、各競技団体等が定める参加規程等を個別に確認してください。
43,●,,,●,●,大会参加等,地域クラブ活動が、複数校の生徒が参加して行われている場合、中体連の大会に参加できるのですか。,複数校の生徒が所属する地域クラブについても、中体連の大会への参加が認められているケースがあります。詳細は各大会主催者、各競技団体等が定める参加規程等を個別に確認してください。
44,●,,,●,●,大会参加等,令和８年９月から部活動が行われなくなる第１・３土曜・翌日曜に試合がある場合、部活動として出場することができるのですか。いわゆる公式戦と、練習試合とで扱いは変わりますか。,学校部活動が全市一斉に行われなくなる日であっても、中体連・中文連主催の大会・コンクール等や、市が主催する大会等（市民スポーツ大会など）には、学校部活動として出場することは可能です。これら以外の、例えば各競技の協会・連盟主催の大会等や練習試合については、学校部活動として出場することはできません（地域クラブとして出場するのであれば、可能です。）。
45,,●,,,,部活動改革,部活動の地域展開等の目的は何ですか。,学校だけで部活動を続けるのが難しくなっているためです。「学校頼みの活動から、まち全体で支える活動へ」変えていき、まちの人たちやいろいろな団体にも協力してもらい、みんなでスポーツや文化芸術活動を支えます。これからも、やりたいことに挑戦できる機会を守っていくことが目的です。
46,,●,,,,部活動改革,「まち全体で支える活動へ」転換するメリットは何ですか。,学校だけではできなかったいろいろな活動を体験できたり、学校や年齢がちがう人と交流できたりします。また、経験のある指導者から教えてもらうことで、活動の質が高まることも期待されています。
47,,●,,,,部活動改革,今回の改革によって「学校部活動」はなくなるのですか。,学校部活動がなくなるわけではありません。休日の学校部活動は、令和9年9月からすべて地域クラブ活動へ変わります。一方、平日の学校部活動は、しばらくの間これまでどおり続きます。
48,,●,,,,部活動改革,北九州市では、どのようなスケジュールで休日の学校部活動を地域クラブに展開しようとしているのですか。,学校部活動を行わない日を、令和７年９月からは第1土曜日と翌日曜日、令和８年９月からは第1・第３土曜日と翌日曜日と段々と拡大し、令和９年９月からは、祝日も含む全ての休日で学校部活動は行わないことになります。これらの学校部活動を行わない休日を中心に、地域クラブ活動を行います。
49,,●,,,,部活動改革,部活動の地域展開により、学校部活動の良さが失われてしまいませんか。,地域クラブ活動でも、学校部活動の持つ良さは引き継いでいきます。新たな特長として、学校だけではできなかったいろいろな活動を体験できたり、学校や年齢がちがう人と交流できたりします。また、経験のある指導者から教えてもらうことで、活動の質が高まることも期待されています。
50,,●,,,,地域クラブ活動,地域クラブ活動とは何ですか。学校部活動や民間のクラブとは何が異なるのですか。,"地域クラブ活動は、学校以外の団体が、市が決めている活動時間のルール等を守って行う活動です。学校部活動の持つ良さは引き継ぎつつ、学校だけではできなかったいろいろな活動を体験できたり、学校や年齢がちがう人と交流できたりします。
地域の団体、保護者会、競技団体など、学校以外のいろいろな団体が行うところは学校部活動と異なり、教育委員会が認めた活動であるところは民間のクラブと異なります。"
51,,●,,,,地域クラブ活動,地域クラブ活動はどのような主体が実施するのですか。また、どのような人が指導者となるのですか。,地域の団体、保護者会、競技団体など、学校以外のいろいろな団体が行います。指導者には、経験や知識を生かして活動を支えたい人がなります。指導する人は、教育委員会の研修を受ける必要があります。学校の先生も、必要な手続きをすれば指導できます。
52,,●,,,,地域クラブ活動,地域クラブ活動はいつ、どこで行われるのですか。,主に土日や祝日など、学校部活動が行われなくなる休日に行います。平日に地域クラブ活動を行うこともできます。活動する場所は、学校や公共施設、民間の施設などを予定しています。
53,,●,,,,地域クラブ活動,地域クラブは大会に参加できるのですか。,中体連が主催する大会では、多くの種目で地域クラブの参加が認められています。ただし、種目によってルールが違うので、大会の主催者や競技団体に確認してください。
54,,●,,,,地域クラブ活動,学校部活動と地域クラブ活動のどちらにも参加してよいのですか。,両方に参加できます。平日の学校部活動と休日の地域クラブ活動は、別の活動です。同じ種目に参加しても、違う種目に参加しても大丈夫です。自分の希望に合わせて選べます。
55,,●,,,,大会参加等,地域クラブに入っていないと、中体連の大会には参加できなくなるのですか。,地域クラブに入っていなくても、学校部活動として中体連の大会に参加できます。ただし、学校部活動と地域クラブのどちらで大会に出るかを選ぶ必要があることがあります。詳しくは、大会のルールなどを確認してください。
56,,●,,,,大会参加等,地域クラブ活動が、複数校の生徒が参加して行われている場合、中体連の大会に参加できるのですか。,複数の学校の生徒が参加する地域クラブでも、中体連の大会への参加が認められているケースがあります。詳しくは大会のルールなどを確認してください。
57,,●,,,,大会参加等,令和８年９月から部活動が行われなくなる第１・３土曜・翌日曜に試合がある場合、部活動として出場することができるのですか。いわゆる公式戦と、練習試合とで扱いは変わりますか。,令和8年9月から学校部活動を行わない第1・第3土曜日と翌日曜日でも、中体連・中文連や市が主催する大会などには、学校部活動として参加できます。一方、それ以外の大会や練習試合には、学校部活動として参加することはできませんが、地域クラブとして参加することは可能です。
